issue_number	node_id	former_url	source_state	raw_sha256	governed_destination	architecture_coverage	local_status	cutover_action	merged_commit
2	I_kwDOONYVBs8AAAABBx2fYg	https://github.com/pdomain/pdomain-book-tools/issues/2	OPEN	89797c004a6050cfd7ad20535f5c906ba63d007c691fa5ce7fa50b18cca4cc8e	docs/issues/2026-05-10-gh-002-decoration-figure-post-classification.md	Active governed issue record; completion not claimed	Active governed record; completion not claimed	Deleted and verified; retained-002	66a71c7ac05589428c98995508e2639e4e95642c
3	I_kwDOONYVBs8AAAABBx2fcg	https://github.com/pdomain/pdomain-book-tools/issues/3	OPEN	a0e2dc2d1706015185711f737c0c8a2481b7c7a30eb53b14045dbea68f99b334	docs/issues/2026-05-10-gh-003-sidenote-height-ratio-default.md	Active governed issue record; completion not claimed	Active governed record; completion not claimed	Deleted and verified; retained-002	66a71c7ac05589428c98995508e2639e4e95642c
4	I_kwDOONYVBs8AAAABBx2fhQ	https://github.com/pdomain/pdomain-book-tools/issues/4	OPEN	a018c05b2b832ac53a1a8f78874174c595d033abc87b586aa67082f05433d507	docs/issues/2026-05-10-gh-004-sidenote-projection-x-height.md	Active governed issue record; completion not claimed	Active governed record; completion not claimed	Deleted and verified; retained-002	66a71c7ac05589428c98995508e2639e4e95642c
5	I_kwDOONYVBs8AAAABBx2fmQ	https://github.com/pdomain/pdomain-book-tools/issues/5	OPEN	ef8ea6c1a3029b7780f3732ee305747c9e4e8e93ecf469759e4357b45bce0284	docs/issues/2026-05-10-gh-005-drop-cap-heading-cross-check.md	Active governed issue record; completion not claimed	Active governed record; completion not claimed	Deleted and verified; retained-002	66a71c7ac05589428c98995508e2639e4e95642c
6	I_kwDOONYVBs8AAAABBx2ftA	https://github.com/pdomain/pdomain-book-tools/issues/6	OPEN	481f1667f06cf6ac2c71f5756f8678fbfba3ed2ab8211f6e9ddaa0199374e419	docs/issues/2026-05-10-gh-006-sidenote-aware-row-blocks.md	Active governed issue record; completion not claimed	Active governed record; completion not claimed	Deleted and verified; retained-002	66a71c7ac05589428c98995508e2639e4e95642c
7	I_kwDOONYVBs8AAAABBx2fzg	https://github.com/pdomain/pdomain-book-tools/issues/7	OPEN	aba181478ba96599d6d97a34469f5ad99c9c838f29a3811819ed93f42793bb68	docs/issues/2026-05-10-gh-007-dev-local-doctr-fork-pin.md	Active governed issue record; completion not claimed	Active governed record; completion not claimed	Deleted and verified; retained-002	66a71c7ac05589428c98995508e2639e4e95642c
8	I_kwDOONYVBs8AAAABBx2f4A	https://github.com/pdomain/pdomain-book-tools/issues/8	CLOSED	73be7f8298730f953655ec77c707e4c2d53691080d47353a07941a087f7afd5c	This ledger; `tests/ocr/test_page_rendering_helpers_coverage.py`	Test coverage for existing page rendering, DocTR export, and debugging helpers; no new product contract	Completed; commit `8ecbe77`	Deleted and verified; deletion journal completed-001	6842ec6b11c06c9b987b384b4abf7e9dc4699014
9	I_kwDOONYVBs8AAAABBx2f_A	https://github.com/pdomain/pdomain-book-tools/issues/9	CLOSED	ef5d97c8e86d7764372344ebefa1f778d01f50af3fc9b5e6c1993ce7d7104263	This ledger; `tests/ocr/test_page_training_set_generators.py`	Test coverage for existing detection and recognition training-set generators, including temporary-path writes	Completed; commit `8ecbe77`	Deleted and verified; deletion journal completed-001	6842ec6b11c06c9b987b384b4abf7e9dc4699014
10	I_kwDOONYVBs8AAAABBx2gFQ	https://github.com/pdomain/pdomain-book-tools/issues/10	CLOSED	97f3d56fd63d4eb376a66842246f646172e74f93c866740fc081ab4236be658e	This ledger; `tests/ocr/test_ground_truth_matching_coverage.py`	Test coverage for existing line-pairing and character-group fallback branches; no new product contract	Completed; commit `8ecbe77`	Deleted and verified; deletion journal completed-001	6842ec6b11c06c9b987b384b4abf7e9dc4699014
11	I_kwDOONYVBs8AAAABBx2gMQ	https://github.com/pdomain/pdomain-book-tools/issues/11	CLOSED	42a1d34fa3111e025e524583c6ceb300e7e71c1c86f566949206bdc3773d22a4	This ledger; `docs/architecture/tesseract-integration.md`; `tests/ocr/test_cv2_tesseract.py`; `pdomain_book_tools/ocr/cv2_tesseract.py`	Real-image integration tests skip when either `pytesseract` or the `tesseract` executable is absent; runtime OCR calls retain a clear missing-package error	Completed; merge `1d5859a`	Deleted and verified; deletion journal completed-001	6842ec6b11c06c9b987b384b4abf7e9dc4699014
12	I_kwDOONYVBs8AAAABBx2gSQ	https://github.com/pdomain/pdomain-book-tools/issues/12	CLOSED	46ed69aee9312e925d85fb270f07ce273672db62e8d9daf805c8d5ed2a08637d	This ledger; `pyproject.toml`; `Makefile`; `scripts/coverage_reporter.py`; coverage tests	The requested 80% hard gate shipped in `8ecbe77`; the current hard gate is 87%, while the soft target remains 88%	Completed; commit `8ecbe77`; threshold later raised	Deleted and verified; deletion journal completed-001	6842ec6b11c06c9b987b384b4abf7e9dc4699014
13	I_kwDOONYVBs8AAAABBx2gWw	https://github.com/pdomain/pdomain-book-tools/issues/13	CLOSED	04a7b69428b302b5b87d4317ec35e39a87ee3c940028cc7d53b0ccfab3d49992	This ledger; `docs/specs/06a-word-reference-lines-audit.md`; `docs/specs/06b-word-reference-lines-api.md`; `docs/specs/06c-word-reference-lines-testing.md`; `docs/specs/_index.md`	The 914-line legacy spec was split into three focused documents below 800 lines and removed from the legacy allow-list	Completed; commit `f5acd19`; current index supersedes the initial forwarding parent	Deleted and verified; deletion journal completed-001	6842ec6b11c06c9b987b384b4abf7e9dc4699014
14	I_kwDOONYVBs8AAAABBx__sw	https://github.com/pdomain/pdomain-book-tools/issues/14	CLOSED	63abf3d968c93d9b00d1f5dc4964e7ee0db2935a45f278edace861799b875c99	This ledger; `tests/ocr/test_reorganize_page_utils_grouping.py`	Per-worker current and diff directories remove the documented xdist session-fixture deletion race	Completed; commit `cc553ad`, merged as `017800c`	Deleted and verified; deletion journal completed-001	6842ec6b11c06c9b987b384b4abf7e9dc4699014
18	I_kwDOONYVBs8AAAABBzkbJg	https://github.com/pdomain/pdomain-book-tools/issues/18	CLOSED	c4987a504213d2c9d2517962f97966d1256bb7d2da008161f653d6f8a9d61ce7	This ledger; immutable raw export	Disposable lifecycle smoke: it validated a triage-to-spec-to-decompose chain and intentionally required no repository product change	Completed operational validation	Deleted and verified; deletion journal completed-001	6842ec6b11c06c9b987b384b4abf7e9dc4699014
19	I_kwDOONYVBs8AAAABBzmjlw	https://github.com/pdomain/pdomain-book-tools/issues/19	CLOSED	cd0fa4f2ab1ea6d1c434a0ce91c280d11d6cca44391973fefbed927daf9506b8	This ledger; immutable raw export	Disposable child spec for the #18 lifecycle smoke; its design questions tested automation rather than defining product behavior	Completed operational validation	Deleted and verified; deletion journal completed-001	6842ec6b11c06c9b987b384b4abf7e9dc4699014
21	I_kwDOONYVBs8AAAABBzruAw	https://github.com/pdomain/pdomain-book-tools/issues/21	CLOSED	a83905de9e99040e6010943055ffbe3353e23e475686eedbcb49ad4a6b574d46	This ledger; immutable raw export	Disposable debugging placeholder for a parent pointer comment; no durable requirement or result	Abandoned placeholder, closed	Deleted and verified; deletion journal completed-001	6842ec6b11c06c9b987b384b4abf7e9dc4699014
22	I_kwDOONYVBs8AAAABBzrxrQ	https://github.com/pdomain/pdomain-book-tools/issues/22	CLOSED	214878e7bb0218adb884b49dbec65ec2d4e0e589e20552bba72a63340b564aee	This ledger; immutable raw export	Disposable decompose-and-ship lifecycle smoke; no current product artifact or requirement	Abandoned smoke child, closed	Deleted and verified; deletion journal completed-002	6842ec6b11c06c9b987b384b4abf7e9dc4699014
23	I_kwDOONYVBs8AAAABB0yJdQ	https://github.com/pdomain/pdomain-book-tools/issues/23	CLOSED	e1d55565aa7301ec77e81b9ee4884494af6807d92d4a885410fa21a9871dbd67	This ledger; `pyproject.toml`	Python remains bounded below 3.14; the lower bound has since advanced from 3.10 to 3.11	Completed; commit `448409e`; lower bound later raised	Deleted and verified; deletion journal completed-002	6842ec6b11c06c9b987b384b4abf7e9dc4699014
24	I_kwDOONYVBs8AAAABB0616w	https://github.com/pdomain/pdomain-book-tools/issues/24	CLOSED	15f72df435ee2baaa15813bf5719df2c10633101119bd4f7b64d4a715e0a2f92	This ledger; `docs/architecture/page-serialization.md`; `docs/context/decisions.md`	The Page-model spec was promoted to current serialization architecture and retired	Retired; commit `b88b62c`	Deleted and verified; deletion journal completed-002	6842ec6b11c06c9b987b384b4abf7e9dc4699014
25	I_kwDOONYVBs8AAAABB07PKA	https://github.com/pdomain/pdomain-book-tools/issues/25	CLOSED	089c5fff11f8a0142ff002d99129310757d0f4b965a05fde0111456b007c5e1e	This ledger; `docs/architecture/page-serialization.md`; `pdomain_book_tools/ocr/page.py`; `tests/test_page_model_doc.py`	`Page.to_dict()` behavior and its documentation drift gate remain implemented	Completed; architecture promotion in `b88b62c`	Deleted and verified; deletion journal completed-002	6842ec6b11c06c9b987b384b4abf7e9dc4699014
26	I_kwDOONYVBs8AAAABB07SYg	https://github.com/pdomain/pdomain-book-tools/issues/26	CLOSED	eaad6d141658843270a6ccabf93e384756ce2e76819ad81e45feea3ebd1cf9f8	This ledger; `docs/architecture/ocr-page-orientation.md`; `docs/context/decisions.md`	The orientation spec was promoted to current architecture and retired	Retired; commit `b88b62c`	Deleted and verified; deletion journal completed-002	6842ec6b11c06c9b987b384b4abf7e9dc4699014
27	I_kwDOONYVBs8AAAABB07Sig	https://github.com/pdomain/pdomain-book-tools/issues/27	CLOSED	009444c330230e67d4f02ef3fd076efaf7e2e6a18b4c7914c0d4f2754e502929	This ledger; `docs/architecture/reorganize-page-pipeline.md`; `docs/context/decisions.md`	The reorganize-pipeline spec was promoted to current architecture and retired	Retired; commit `b88b62c`	Deleted and verified; deletion journal completed-002	6842ec6b11c06c9b987b384b4abf7e9dc4699014
28	I_kwDOONYVBs8AAAABB07ThA	https://github.com/pdomain/pdomain-book-tools/issues/28	CLOSED	8019b835f7022a85a7934e5adee3c6ed4b7fd545d8e50cc70a9fe81bae7d7e77	This ledger; `docs/architecture/layout-regression-fixture-corpus.md`; `docs/context/decisions.md`; layout and reorganize fixture tests	The fixture-corpus spec was promoted to current architecture and retired	Retired; commit `b88b62c`	Deleted and verified; deletion journal completed-002	6842ec6b11c06c9b987b384b4abf7e9dc4699014
29	I_kwDOONYVBs8AAAABB07Trw	https://github.com/pdomain/pdomain-book-tools/issues/29	CLOSED	5ad76da7c520fcd2148e8c68f61da3e5020969990296c1d0d7a78a93b7ad6c83	This ledger; `docs/architecture/glyph-annotations.md`; `docs/context/decisions.md`; `pdomain_book_tools/ocr/glyph_annotations.py`; `tests/ocr/test_glyph_annotations.py`	The glyph-annotation spec was promoted to current architecture and retired	Retired; commit `b88b62c`	Deleted and verified; deletion journal completed-002	6842ec6b11c06c9b987b384b4abf7e9dc4699014
30	I_kwDOONYVBs8AAAABB07alg	https://github.com/pdomain/pdomain-book-tools/issues/30	CLOSED	20464714da37f45ba9b5ba1a7043b6a993f15f0f6a98c47aaa0404a18bd5aecb	This ledger; `docs/architecture/ocr-page-orientation.md`; `pdomain_book_tools/ocr/rotation.py`; `pdomain_book_tools/ocr/document.py`; `tests/ocr/test_rotation.py`	Orientation detection and its `Document` integration remain implemented; current architecture supersedes the cited spec	Completed; architecture promotion in `b88b62c`	Deleted and verified; deletion journal completed-002	6842ec6b11c06c9b987b384b4abf7e9dc4699014
